Comments,sentiment,expression
"Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>You&#39;re a good soldier, choosing your battles<br>Pick yourself up and dust yourself off, get back in the saddle<br>You&#39;re on the frontline, everyone&#39;s watching<br>You know it&#39;s serious, we&#39;re getting closer, this isn&#39;t over<br>The pressure&#39;s on, you feel it<br>But you got it all, believe it<br>When you fall get up, oh, oh<br>And if you fall get up, eh, eh<br>Tsamina mina zangalewa &#39;cause this is Africa<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Listen to your God, this is our motto<br>Your time to shine, don&#39;t wait in line, y vamos por todo<br>People are raising their expectations<br>Go on and feed them, this is your moment, no hesitation<br>Today&#39;s your day, I feel it<br>You paved the way, believe it<br>If you get down get up, oh, oh<br>When you get down get up, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa, anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Abuyile amajoni pikipiki mama, one A up to Z<br>Bathi susa lamajoni pikipiki mama from East to West<br>Bathi waka waka mah eh, eh<br>Waka waka mah eh, eh<br>Zonk&#39; iZizwe masibuye &#39;cause this is Africa (Africa, Africa...)<br>Tsamina mina, anawa-a-a<br>Tsamina mina<br>Tsamina mina, anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Tango, eh, eh<br>Tango, eh, eh<br>Tsamina mina zangalewa anawa-a-a<br>Tango, eh, eh<br>Tango, eh, eh<br>Tsamina mina zangalewa, anawa-a-a<br>This time for Africa<br>This time for Africa<br>We all Africa (zama qhela)<br>We all Africa (kwela kwela)<br>Zama qhela",0.5673,Positive
2023 November Anyone🙋🏻‍♂️⚽,0.4939,Positive
20259 anyone,0.0,Neutral
2025 anyone😂,0.4404,Positive
?Yes i am in 2026 watching<br>FIFA World Cup😅,0.6369,Positive
2024 ❤❤❤,0.9274,Positive
Hey ShaKira My Request To Waka Waka 2 For New Ready Now😊👍🏻,0.8176,Positive
Actually I am not a football lover; but this song caused me to fell in love with football ❤❤😍😍 still listening in 2023,0.9806,Positive
2100 anyone,0.0,Neutral
Watch chak de india its also good,0.4404,Positive
Anyone after human existence ended 😂,0.4404,Positive
2080???Anyone,0.0,Neutral
ANYONE 2099,0.0,Neutral
România 2023,0.0,Neutral
"I,am",0.0,Neutral
Brings back the good times(I am from South Africa)🎉🎉🎉,0.875,Positive
2026 anyone😂,0.4404,Positive
6969,0.0,Neutral
2026 Anyone 😊,0.7184,Positive
Football back then…..miss it!,0.0,Neutral
From 2030 this song has crossed the world population,0.0,Neutral
Bendiciones guapa🎯🍸🌻,0.0,Neutral
💪💃👣💤💤💤💤💟👁️⭐💦🤝,-0.3818,Negative
Vamos x ms nena,0.0,Neutral
came back here for a school project,0.0,Neutral
why would you dislike this?,-0.3818,Negative
احلى اغنيه,0.0,Neutral
I don’t like it,0.3612,Positive
20100anyone😂😂,0.7003,Positive
It’s crazy how it’s been 13 years and comments from 2 weeks ago are still getting thousands of likes,0.1027,Positive
今ではレジェンド選手ばっかやわ,0.0,Neutral
2024 anyone😅,0.3612,Positive
He he,0.0,Neutral
Waka waka,0.0,Neutral
اني عربي هذه الاغنيه❤❤,0.8555,Positive
😮😮😮😮❤❤❤,0.9274,Positive
❤,0.6369,Positive
Bonjour je suis Abdelmalek fan toi,0.3182,Positive
Kon kon 2023 me ayya hai,0.0,Neutral
5055 anyone 😅,0.3612,Positive
1860 anyone😂,0.4404,Positive
Qushiq zur manga yoqadi,0.0,Neutral
神曲すぎ😢,-0.4767,Negative
"Best song ever Shakira sang when it was football World Cup match, i like this song.",0.7717,Positive
November gang,0.0,Neutral
who was ;listening in 2023,0.0,Neutral
2023년에도 보는 사람이 있습니까?<br>👇<br>👇<br>👇,0.0,Neutral
OMG you are good singer 💯,0.4404,Positive
💖💖💖💖💖💖💖💖💖💖💖💖,0.9973,Positive
Super very,0.5994,Positive
كل يوم تتألق  وتزداد رونق تحيه للفنانه شاكيرا,0.0,Neutral
Thank you shakira,0.3612,Positive
👍👍,0.0,Neutral
"Hi kikku , I&#39;m you from 2023 November <br>Reply me once you saw this message",0.0,Neutral
2023 listening🎶.......... ❤,0.6369,Positive
wow,0.5859,Positive
❤❤❤❤,0.9571,Positive
2024 Anyone?,0.0,Neutral
The most iconic world cup song of time <br>Woooow 10k Thanks Guys,0.4404,Positive
"আহ, আ ফ্ৰি কা, কা কা কাকা,<br>আহ,  আ ফ্ৰি খা, ফ্ৰি খা, কা কা CAA. কা কা কৰা কলা কাউৰীৰ<br>বাহিনীৰ কাহিনী। এই বোৰ কলা কাউৰী জাকৰ ফ্ৰিতে ভোজভাত <br>খৱাৰ পাল, <br>নাম লৈ গা গা গাহৰি গা হৰি<br>,নাম লৈ খা খা গা হৰি,<br>খাই খায়েই যা যা সব পাহৰি। <br>ইয়াৰ পিছত দেখো ঘড়ী, <br>এতিয়া কাম, এৰা ৰাম নাম। <br>সময়েই নাই লবলৈ নাম, নাই আহৰি",0.0,Neutral
💋👍,0.4215,Positive
I like africa,0.3612,Positive
I think I&#39;m the only one here in 2090 🌚✌,0.4939,Positive
The Best World Cup Song All Of Time.,0.6369,Positive
2040 anyone?,0.0,Neutral
Camilo 01 contenidos y juegos,0.0,Neutral
2025 anyone 😍💥,0.128,Positive
Any one still here,0.0,Neutral
"Well, now she is Spanish just like Karol G",0.5574,Positive
Shakira should&#39;ve made all world cup songs the world would be a better place❤,0.7964,Positive
209?,0.0,Neutral
حافيه القدمين,0.0,Neutral
Did anyone see that girl who sang the song as she accidentally trapped herself inside a glass table?,-0.7003,Negative
"why the fuck is this in my mix playlist? I hate football,",-0.802,Negative
13y ago 🎉,0.4019,Positive
Reina de la música latina 👑,0.0,Neutral
You can understand value of this song after listen tuku taka,0.34,Positive
Ayo tambah sampai 4miliar viewers 😂🤣❤❤❤❤❤❤❤👍👍👍,0.9895,Positive
𝚒 𝚕𝚘𝚟𝚎 𝚝𝚑𝚒𝚜 𝚜𝚘𝚗𝚐,0.0,Neutral
😂😂😂😮😅Hi2010,0.8807,Positive
اجمل اغنية ‏‪ ‏كأس عالم الى الان,0.0,Neutral
11/06/2024 Still a hot hitt.❤❤❤,0.9274,Positive
🍯🍯🤤,0.0,Neutral
💎💎💎💎💎💎💎💎💎💎🤑🤑🤑🤑🤑🤑,0.0,Neutral
❤❤❤❤❤,0.9719,Positive
Ktoś 2024?🥹,0.0,Neutral
عندما كنو الأصطير❤,0.6369,Positive
Aí sim Shakira linda demais 🤩😮❤❤❤😅❤🎉,0.9719,Positive
"I love South Africa 🇿🇦❤, respects from Mexico.",0.8934,Positive
2027,0.0,Neutral
The closest to world peace we&#39;d be,0.5423,Positive
"I like ur other songs but I&#39;ve never heard this copy, best regards hahaha :D",0.9638,Positive
2025 anyone? 😅,0.3612,Positive
Love This Song❤,0.8555,Positive
Why can&#39;t we stop listening to this song I just Can&#39;t stop <br><br>All the memories are just too good,-0.128,Negative
Época em q os jogadores tinham amor a camisa e não ao dinheiro.🇧🇷,0.6124,Positive
Nice,0.4215,Positive
❤️,0.0,Neutral
🎉,0.4019,Positive
日本人,0.0,Neutral
"After 13 years since Argentina won the 2022 World Cup, I come back to listen again and got goosebumps. This song is good and emotional it reminds of my childhood watching football 👍",0.802,Positive
this song grows newer every year. I can&#39;t wait to see it get to 10b views!💝💝💖,0.9441,Positive
Šakira urob čaj,0.0,Neutral
ستبقى حبي الأبدي رغم الظروف وأخبرك سرا أنا بانتظارك داىما معي مهما تقاست الظروف ومهما بعدت فإني تركت لك مكانا في القلب لماذا ...<br>لأنك ذكرى جميلة في حياتي فاعذرني ان تكبرت عليك فقط لكي <br>أعلمك أني ❤❤أحبك ❤❤,0.9274,Positive
Love❤<br>Excellente🥰,0.91,Positive
Im from brasil anyone?,0.0,Neutral
November anyone?,0.0,Neutral
This song touch my heart when shakira made this song  about africa😊,0.8807,Positive
😭😭😭😭💗💗💗💗✨✨✨,0.9442,Positive
This video is packed with people that have fundamentally changed football. Incredible to look back on.,0.0,Neutral
2023 anyone?,0.0,Neutral
What a feel,0.0,Neutral
Xd,0.5859,Positive
Messi is there in the song but ronaldo ain&#39;t so that means...,0.0,Neutral
2025 anyone,0.0,Neutral
Still listening to this masterpiece!!,0.755,Positive
❤❤,0.8555,Positive
6 Nov 2k23 time 7:52 pm Pakistan,0.0,Neutral
2060 Anyone ?,0.0,Neutral
The pressure is on 🇿🇦🇿🇦🇿🇦,-0.296,Negative
"<a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=2m25s"">2:25</a>",0.0,Neutral
Best vibing song for anyone else??,0.6767,Positive
I love you Brazil song❤❤❤❤❤,0.9803,Positive
Anyone in November 2023?,0.0,Neutral
2023,0.0,Neutral
Any one from Pakistan,0.0,Neutral
Love my sister❤🎉🎉,0.93,Positive
"Roar!<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>Tipe, tipe, zangalewa (World Cup! World Cup!)<br>You&#39;re a good soldier, choosing your battles<br>Pick yourself up and dust yourself off, get back in the saddle<br>You&#39;re on the frontline, everyone&#39;s watching<br>You know it&#39;s serious, we&#39;re getting closer, this isn&#39;t over<br>The pressure&#39;s on, you feel it<br>But you got it all, believe it<br>When you fall get up, oh, oh<br>And if you fall get up, eh, eh<br>Tsamina mina zangalewa &#39;cause this is Africa<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Listen to your God, this is our motto<br>Your time to shine, don&#39;t wait in line, y vamos por todo<br>People are raising their expectations<br>Go on and feed them, this is your moment, no hesitation<br>Today&#39;s your day, I feel it<br>You paved the way, believe it<br>If you get down get up, oh, oh<br>When you get down get up, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa, anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Abuyile amajoni pikipiki mama, one A up to Z<br>Bathi susa lamajoni pikipiki mama from East to West<br>Bathi waka waka mah eh, eh<br>Waka waka mah eh, eh<br>Zonk&#39; iZizwe masibuye &#39;cause this is Africa (Africa, Africa...)<br>Tsamina mina, anawa-a-a<br>Tsamina mina<br>Tsamina mina, anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa anawa-a-a<br>Tsamina mina, eh, eh<br>Waka waka, eh, eh<br>Tsamina mina zangalewa<br>This time for Africa<br>Tango, eh, eh<br>Tango, eh, eh<br>Tsamina mina zangalewa anawa-a-a<br>Tango, eh, eh<br>Tango, eh, eh<br>Tsamina mina zangalewa, anawa-a-a<br>This time for Africa<br>This time for Africa<br>We all Africa (zama qhela)<br>We all Africa (kwela kwela)<br>Zama qhela",0.5673,Positive
It&#39;s my always....super favorite,0.4588,Positive
My favourite song😅😅,0.6124,Positive
♡,0.0,Neutral
🧢🧢,0.0,Neutral
I Like the song 😍💕💕,0.9337,Positive
This song has 2022 meaning,0.0,Neutral
🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦,0.0,Neutral
Bangladesh 🇧🇩🇧🇩🇧🇷🇧🇷🇧🇷,0.0,Neutral
2023😂,0.4404,Positive
06/11/2023 nice song,0.4215,Positive
Who here in 2023🎉,0.4019,Positive
This song will be heard from now on✨,0.3182,Positive
💗💓💞💕❣️💗💓💞💕❣️💗💓💞💕❣️,0.9976,Positive
Dulu gue pengen bgt beli boneka fifa world cup 2010 sampe gak kesampaian:&#39;),0.0,Neutral
❤,0.6369,Positive
ANY ONE 2024 😂,0.4404,Positive
😂😂😂 اني,0.8271,Positive
Beautiful SONG 😍💖,0.9231,Positive
op,0.0,Neutral
Is soo cool 🎉,0.6124,Positive
And next It s Morrocco! I m proud of my nation: first african team to go in 1/2 final,0.5255,Positive
India mein 2023 chel raha hain😂,0.4404,Positive
2025😮anyone¬^¡¿,0.0,Neutral
Çokkkkk güzəl şarkı❤❤❤❤❤,0.9719,Positive
This is for Palestinian army ❤🇵🇸🫡,0.0,Neutral
😅❤Here he comes in the year 2024 and until now we are listening to this beautiful song,0.7978,Positive
2024 anione?,0.0,Neutral
2025 anyone?,0.0,Neutral
Soccer is my favorite thing in the world,0.4588,Positive
2023 ✌️,0.0,Neutral
"Шакуля давай встретимся ты никому не интересна кроме меня, не будь дурочкой, ты всю жизнь будеш одна если не приедеш в мою квартиру, тебе известно где я живу поэтому незачем тебе претворяться столько лет,,,,,,,,,,,,,,,,,,,,",0.0,Neutral
Shakira is about to reach 50m subscribers❤❤😊,0.9382,Positive
2024😂,0.4404,Positive
O.             M                   G.                  ❤<br>😂,0.4404,Positive
Yes we can jouwé football ⚽⚽,0.4019,Positive
Andcwlf<br>Dajd.❤,0.6369,Positive
Nice songs,0.4215,Positive
💃💃💃🎉🎉🎉,0.7964,Positive
anyone after South Africa world cup win.,0.5859,Positive
2025🎉❤anyone😅,0.6369,Positive
CS2 player salute 🫡,0.0,Neutral
Oi tudo bom eu tenho 9 anos 2023,0.0,Neutral
2024 yes,0.4019,Positive
4.000 now ?,0.0,Neutral
3 bilion views now. Damn,-0.4019,Negative
"<a href=""http://www.youtube.com/results?search_query=%23serviciotecon"">#serviciotecon</a>",0.0,Neutral
Best world cup song ever ❤,0.8555,Positive
J’adore cette chanson ❤❤❤<br>RESPECT 👏🫶🏽👌👍👍🏿👍🏾👍🏽👍🏼👍🏻,0.9386,Positive
Still listen to it till this day 😅,0.3612,Positive
Linda Canção <br>O Universo . Viva a África,0.0,Neutral
🎉🎉😢,0.3182,Positive
hello world,0.0,Neutral
2024 anyone?😅,0.3612,Positive
"Шакуля не будь дурочкой приезжай ко мне ты никому не интересна кроме меня неужели ты этого не понимаеш?,,,,,,,,,,,,,,",0.0,Neutral
2030 anyone,0.0,Neutral
2024 people 👇👇,0.0,Neutral
Yay,0.5267,Positive
Esta canción esta desde el 9 de febrero,0.0,Neutral
"<a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=01m23s"">01:23</a>❤",0.6369,Positive
😊,0.7184,Positive
❤❤❤,0.9274,Positive
I love this song ❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤😊❤,0.9997,Positive
Woiiiiii,0.0,Neutral
Hola como estas me gusta la musica de donfe California,0.0,Neutral
لايكات خلو الاجانب يفتكرو كاتب حاجه مهمه 😂😂,0.7003,Positive
Its nice how the legengs pele and Maradona bc this was the timeline their were alive😢❤,0.7579,Positive
2024 anyone 😅😅,0.6124,Positive
Love shakira❤❤❤❤❤❤❤❤❤,0.9928,Positive
اي شخص من2024,0.0,Neutral
2023❤🥰,0.91,Positive
Totally Shakiro❤❤❤❤,0.9588,Positive
2023 novermber 02,0.0,Neutral
Guys 8ts almost 2024 14y ago,0.0,Neutral
Kdo dá na tuhle píseň Like tak ……,0.3612,Positive
Nejlepší písnička❤❤❤❤❤❤❤❤❤❤❤❤❤❤🥰🥰🥰😍😍😘😘😘,0.9985,Positive
And hopefully no injuries 😅😅😅,0.5252,Positive
I want Messi to like like before😢😢,-0.2263,Negative
2024 للآن وانا اسمعها,0.0,Neutral
wakawaka,0.0,Neutral
Any 2024 here?,0.0,Neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9999,Positive
05:10:2023 from Bangladesh,0.0,Neutral
Mine fav song,0.4588,Positive
Aaj match hai South Africa ke saath or vo aabhi harne wali hai 😂😂😂😂,0.891,Positive
3 مليار مشاهده يا ناس 😮,0.0,Neutral
❤❤❤😂,0.9477,Positive
she is very beautiful 🤍🫶🏿🥹🌼,0.6361,Positive
Смотреть и слушать Шакиру можно бесконечно🎉❤ 2023 ноябрь,0.7845,Positive
I feel like a weird older bro that hasn&#39;t told his younger bro and his mates abt this song asn he&#39;s missing out lol,0.34,Positive
This song is never going to get old🤗🤗,0.6808,Positive
good luck,0.7096,Positive
Still who watching this 😂😂,0.7003,Positive
日本人いますか,0.0,Neutral
"Lagu piala dunia paling iconic sepanjang masa, lagu jaman gue bocah kelas 1 SMP tahun 2010, pertama liat video klip nya di hp nexian punya abang sepupu gw, waktu itu lagu ini sangat2 viral karna jadi lagu buat piala dunia 2010 bersamaan sama lagunya kan&#39;an wavin flag, gw masih ingat dulu pengen bgt nonton semifinal pildun spain vs german tapi karna gw dulu masih bocah jdi gk dbolehin bapak keluar rumah begadang buat nonton  karna besoknya mau sekolah😂 padahal waktu itu gw pengen bisa nonton.",0.4404,Positive
😍😍😍😍😍😍😜🤪😝😗,0.967,Positive
Im just14....and my mother told me THAT song...I feel liké im in the song<br>❤❤,0.8555,Positive
Yaaaaa!2024bro!!!! Be back!☝️☝️☝️,0.0,Neutral
Me,0.0,Neutral
wow,0.5859,Positive
"Те саиые просмотры <a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m57s"">1:57</a>",0.0,Neutral
2024?,0.0,Neutral
This song is so great 🙂,0.8486,Positive
2014❤❤❤❤❤❤❤❤weertrur <br><br>Dobro 40fr re,0.9854,Positive
MEXICO ESPARADO GITARIS !! 🤗,0.5242,Positive
2025😂,0.4404,Positive
1886 anyone🎉🎉😅😅😅😅😅,0.9423,Positive
Where is it 🇪🇹ethiopia,0.0,Neutral
2024  😅,0.3612,Positive
شكلي بس انا هنا 😂❤,0.7964,Positive
5november 2024,0.0,Neutral
2024 watching 🎉,0.4019,Positive
Nice song❤❤,0.9042,Positive
I just love❤❤❤❤❤❤ this world cup song so much.,0.9854,Positive
Hayatın mükemmel olduğu yıllar,0.0,Neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9989,Positive
"when i get older , i will be stronger....",0.3818,Positive
Anyone from India 🇮🇳,0.0,Neutral
Good song,0.4404,Positive
Yes bro i am here 😂,0.6808,Positive
Легенды!),0.0,Neutral
Nice❤,0.7906,Positive
ILove football ❤,0.6369,Positive
😮⚽️,0.0,Neutral
Love this song,0.6369,Positive
"Was Messi there in the video, I&#39;m watching this video at the last month of 2023 for the first time😂😂",0.7003,Positive
Who came from Tukoh Taka that fucking joke,0.3597,Positive
"Starting at <a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=2m11s"">2:11</a> captoions say singing in a foreign languages, I KNOW THAT.<br><br>I just want to know what she&#39;s saying",0.0772,Positive
2023🎉❤,0.7845,Positive
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷❤❤❤❤❤😢❤😢❤❤😢❤😢🇦🇷 2224,0.9825,Positive
we makin out of the world cup with this one,0.0,Neutral
Shows Africa  pride❤,0.765,Positive
2023 November?...... Hit like button ❤️,0.3612,Positive
Good song,0.4404,Positive
Zainab dulu,0.0,Neutral
❤,0.6369,Positive
2025 anyone???🎉🎉🎉,0.8243,Positive
Goosebumps 😮,0.0,Neutral
আর্জেন্টিনা argentina 🥰,0.8074,Positive
"Essa Foi a Copa que eu Vi a Copa de 2010 que Por Sinal Foi a Que mais Amei, Fora que Ainda Fomos Presentiados com esse Hino, Obrigado Shakira",0.0,Neutral
Saudis season 2024 wow,0.5859,Positive
O hino das copas,0.0,Neutral
This was the first world cup I have seen  on tv .  Nostalgia 😋😋,0.0,Neutral
Je reconnais Gérard Piqué 😅,0.3612,Positive
🥶🥶🥵🥵🫀🫀🫀🫀🫀🫀🫀🫀🌹🌹🌹🌹🌹🌹,0.0,Neutral
"elle n&#39;est pas punk et n&#39;ahbite pas pr, es de granville, ilest 22h59",0.0,Neutral
I love it I watch it wen I was 5 and I’m 9 so I love it❤🫶🏽👑🐬🎉,0.9077,Positive
"<a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m23s"">1:23</a> is that messi?",0.0,Neutral
Those days 😢😢❤❤,0.4939,Positive
Epic,0.0,Neutral
Hello2024,0.0,Neutral
This song is legendary,0.0,Neutral
⚽⚽⚽🇿🇦😍😍🏺🌠 ⚡🌝☀,0.7184,Positive
"<a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=0m59s"">0:59</a>  <a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=1m03s"">1:03</a>",0.0,Neutral
"Po&quot;this time for Africa&quot;(<a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0&amp;t=2m25s"">2:25</a>)jest... Maradona, a chwilę później Pelé!!! Obaj najlepsi piłkarze świata🤯🤯🤯. Uwielbiam za znajomość",0.0,Neutral
3. 07 B  view,0.0,Neutral
Fck it&#39;s been 13 years,0.0,Neutral
THIS TIME FOR AFRICA IN CRICKET WORLD CUP 2023🎉🎉🎉🎉,0.8689,Positive
اتلاثة مليار مشاهدة يبوي😂😂,0.7003,Positive
I love you ❤❤❤❤❤😂😂😂😂😊😊😊😊😊,0.9966,Positive
🎉,0.4019,Positive
"I wish we would hear from you next year, Another song",0.4019,Positive
Pure nostalgia 💯💯,0.0,Neutral
Brasil 🇧🇷,0.0,Neutral
2030 Someone?!😢,-0.5255,Negative
"Shakulya, you will always be alone, because you don’t want to meet with me, I took pity on you and decided to give you a massage for free, for this you need to meet,,,,,,,,,,,,,,,,,,,,",0.1027,Positive
I WILL COME BACK 2024,0.0,Neutral
2027 anyone?😂,0.4404,Positive
GROSSO,0.0,Neutral
Me,0.0,Neutral
2024,0.0,Neutral
"3,770 million views 🎉🎉🎉 about to hit 3.8B!!!",0.8392,Positive
This song will always have a special place in my heart ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0.9995,Positive
Música boa da Shakira,0.0,Neutral
Very nice ❤,0.8204,Positive
2024 anyone?,0.0,Neutral
L.M- 10 is Goat,0.0,Neutral
"<a href=""https://youtu.be/ftfs0fN4WXM?feature=shared"">https://youtu.be/ftfs0fN4WXM?feature=shared</a>",0.0,Neutral
Ahhh if i remeber when i was 5 i loved this song so much ❤,0.8542,Positive
2024 anyone 😅❤😊,0.9136,Positive
Anyone from 2100?,0.0,Neutral
Who’s here after South Africa beat India in Cricket world cup  Final 2023?,0.0,Neutral
